"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
1143, 2.134094574000000e+00, 4.130468325100000e-01, 7.171220807799999e-02, 4.480441094807409e+00, 3.231076104339081e-02, 3.141226584141583e-01
3590, 2.150068118200000e+00, 3.917836996200000e-01, 7.767440019700000e-02, 4.521860917291989e+00, 1.151504060125514e-01, 2.986646958400622e-01
4698, 2.186650828500000e+00, 4.221466204100000e-01, 8.952122379000001e-02, 4.307876450945410e+00, -3.128185266806067e-01, 2.979870990373691e-01
8547, 2.168331284700000e+00, 4.391832017500000e-01, 8.276177539200000e-02, 4.290403669524916e+00, -3.477640895215952e-01, 3.039544298730045e-01
5448, 2.182337158900000e+00, 4.412608901500000e-01, 8.753357309800000e-02, 4.265478344816104e+00, -3.976147389392199e-01, 3.114779507268573e-01
3362, 2.181604983600000e+00, 3.732882333000000e-01, 8.905051819500000e-02, 4.596482079974585e+00, 2.643927313777432e-01, 3.002977496105229e-01
5237, 2.198064916800000e+00, 3.807303891900000e-01, 9.460771271500000e-02, 4.566573604827054e+00, 2.045757810826814e-01, 2.952205139817809e-01
4699, 2.200462775400000e+00, 4.167973886200000e-01, 9.447419265900001e-02, 4.338320643735438e+00, -2.519301411005515e-01, 3.043243447203460e-01
6145, 2.201967825600000e+00, 3.985798532500000e-01, 9.549224327000000e-02, 4.637243991894881e+00, 3.459165552183343e-01, 2.790573414600175e-01
35, 1.191286187700000e+00, 1.705052176500000e+00, 5.704834285200000e-02, 4.449753843327656e+00, -2.906374191611505e-02, 3.595602317190171e-01
36, 1.193663939400000e+00, 1.722005517000000e+00, 6.922870198900000e-02, 4.350863156661411e+00, -2.268451152486044e-01, 3.333838197933005e-01
37, 1.208019108100000e+00, 1.720489977600000e+00, 5.248397231100000e-02, 4.331376599198022e+00, -2.658182301753822e-01, 3.891309590231091e-01
1820, 1.180398036900000e+00, 1.708184413300000e+00, 7.300735007700000e-02, 4.025683119253188e+00, -8.772051900650517e-01, 3.450226771730836e-01
9328, 1.203871594800000e+00, 1.707090015700000e+00, 4.663691094500000e-02, 4.207905124418957e+00, -5.127611797335128e-01, 3.829306115352393e-01
6845, 1.178663784600000e+00, 1.695747541700000e+00, 6.311070790499999e-02, 4.385776861852118e+00, -1.570177048671901e-01, 3.559558889310195e-01
2679, 1.199795461700000e+00, 1.693561789600000e+00, 4.095454204700000e-02, 4.041643912024303e+00, -8.452836045228215e-01, 4.095115307446734e-01
2680, 1.183421425600000e+00, 1.685874370400000e+00, 4.993227762600000e-02, 4.233037756868105e+00, -4.624959148352180e-01, 4.169604008570533e-01
2384, 1.208270458000000e+00, 1.734177786400000e+00, 6.301605599300000e-02, 4.570647852338033e+00, 2.127242761046393e-01, 3.700747868397892e-01
3251, 1.181597246900000e+00, 1.717363730500000e+00, 8.155679835599999e-02, 4.584648500979327e+00, 2.407255733872269e-01, 3.336168188773312e-01
2383, 1.199197104800000e+00, 1.737082363000000e+00, 7.705252681999999e-02, 4.568894738172318e+00, 2.092180477732093e-01, 3.359927383301405e-01
3252, 1.184736840100000e+00, 1.727653575000000e+00, 8.940531767200000e-02, 5.019256570061824e+00, 1.109941711552221e+00, 3.398552654919069e-01
2015, 1.221824828800000e+00, 1.738026856300000e+00, 5.256054603600000e-02, 4.284816674126636e+00, -3.589380803181541e-01, 4.015270795898059e-01
2016, 1.225947903400000e+00, 1.724154540500000e+00, 4.000517266200000e-02, 4.161600821304191e+00, -6.053697859630454e-01, 4.257545209299533e-01
3374, 1.217310710400000e+00, 1.707253900000000e+00, 3.612409681100000e-02, 4.036770420704342e+00, -8.550305871627426e-01, 4.137121758610583e-01
38, 1.348813934200000e+00, 1.938563572100000e+00, 8.207068774700001e-02, 4.649217883212493e+00, 3.698643378535582e-01, 3.642842333727714e-01
39, 1.350981923900000e+00, 1.954405059100000e+00, 9.325923387399999e-02, 4.491708387990949e+00, 5.484534741047042e-02, 3.533195476421994e-01
40, 1.364187749100000e+00, 1.951810535200000e+00, 7.731914911100000e-02, 4.479256164814025e+00, 2.994090105662295e-02, 3.990143026013871e-01
1865, 1.338013395400000e+00, 1.941159480000000e+00, 9.707812234099999e-02, 4.754619633332065e+00, 5.806678380927028e-01, 3.008165962563770e-01
9421, 1.360992287800000e+00, 1.940038259000000e+00, 7.190465568500000e-02, 4.407806050493337e+00, -1.129593275847540e-01, 4.017489497259987e-01
6951, 1.336533126700000e+00, 1.930110137100000e+00, 8.834835071100000e-02, 4.537207730666263e+00, 1.458440327610991e-01, 3.182267459425880e-01
2807, 1.357927747700000e+00, 1.928148079600000e+00, 6.659220824100000e-02, 4.271402898991171e+00, -3.857656305890842e-01, 4.125531141634108e-01
